card_id,qr_identity,candidate_uk_qr_url,candidate_au_qr_url,current_mapped_year,authoritative_observed_year,year_verification_confidence,physical_print_observed,discrepancy_status,official_uk_sku,official_uk_spotify_track_id,official_au_sku,official_au_spotify_track_id,playlist_spotify_track_id,playlist_title,playlist_artist,identity_confidence,source_evidence,non_authoritative_bopster_year,non_authoritative_musicbrainz_year,screening_flags
32,00032,https://hitstergame.com/uk/aaaa0005/00032,https://hitstergame.com/au/aaah0001/00032,1966,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,4H1iMlEWKZmpKTHCZzDhju,aaah0001,4H1iMlEWKZmpKTHCZzDhju,4H1iMlEWKZmpKTHCZzDhju,You Can't Hurry Love,The Supremes,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00032; ordered title reference: https://open.spotify.com/track/4H1iMlEWKZmpKTHCZzDhju; printed-year evidence: not available,1966,1966,none
33,00033,https://hitstergame.com/uk/aaaa0005/00033,https://hitstergame.com/au/aaah0001/00033,1980,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,6ALPLbDJ9eWVij9ep3Cgf4,aaah0001,6ALPLbDJ9eWVij9ep3Cgf4,6ALPLbDJ9eWVij9ep3Cgf4,Going Underground,The Jam,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00033; ordered title reference: https://open.spotify.com/track/6ALPLbDJ9eWVij9ep3Cgf4; printed-year evidence: not available,1979,1980,community_bopster_year_differs
34,00034,https://hitstergame.com/uk/aaaa0005/00034,https://hitstergame.com/au/aaah0001/00034,1973,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,3Pu3IChaAoa5EjgUBv5F6x,aaah0001,3Pu3IChaAoa5EjgUBv5F6x,3Pu3IChaAoa5EjgUBv5F6x,Ballroom Blitz,Sweet,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00034; ordered title reference: https://open.spotify.com/track/3Pu3IChaAoa5EjgUBv5F6x; printed-year evidence: not available,1974,1973,community_bopster_year_differs
35,00035,https://hitstergame.com/uk/aaaa0005/00035,https://hitstergame.com/au/aaah0001/00035,1972,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,4TOMI010Sd4ZAX4aZ5TS85,aaah0001,4TOMI010Sd4ZAX4aZ5TS85,4TOMI010Sd4ZAX4aZ5TS85,Perfect Day,Lou Reed,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00035; ordered title reference: https://open.spotify.com/track/4TOMI010Sd4ZAX4aZ5TS85; printed-year evidence: not available,1972,1972,none
36,00036,https://hitstergame.com/uk/aaaa0005/00036,https://hitstergame.com/au/aaah0001/00036,1979,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1QFh8OH1e78dGd3VyJZCAC,aaah0001,1QFh8OH1e78dGd3VyJZCAC,1QFh8OH1e78dGd3VyJZCAC,Boys Don't Cry,The Cure,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00036; ordered title reference: https://open.spotify.com/track/1QFh8OH1e78dGd3VyJZCAC; printed-year evidence: not available,1979,1992,musicbrainz_candidate_differs
37,00037,https://hitstergame.com/uk/aaaa0005/00037,https://hitstergame.com/au/aaah0001/00037,1987,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,4cOdK2wGLETKBW3PvgPWqT,aaah0001,4cOdK2wGLETKBW3PvgPWqT,4cOdK2wGLETKBW3PvgPWqT,Never Gonna Give You Up,Rick Astley,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00037; ordered title reference: https://open.spotify.com/track/4cOdK2wGLETKBW3PvgPWqT; printed-year evidence: not available,1987,1987,none
38,00038,https://hitstergame.com/uk/aaaa0005/00038,https://hitstergame.com/au/aaah0001/00038,1979,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,37yIrMPeJYRm7zJ8rr3Uvv,aaah0001,37yIrMPeJYRm7zJ8rr3Uvv,37yIrMPeJYRm7zJ8rr3Uvv,Funkytown,Lipps Inc.,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00038; ordered title reference: https://open.spotify.com/track/37yIrMPeJYRm7zJ8rr3Uvv; printed-year evidence: not available,2018,1979,community_bopster_year_differs
39,00039,https://hitstergame.com/uk/aaaa0005/00039,https://hitstergame.com/au/aaah0001/00039,1985,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2co8fDyaVmxv8xruQWORnC,aaah0001,2co8fDyaVmxv8xruQWORnC,2co8fDyaVmxv8xruQWORnC,Road to Nowhere - 2005 Remaster,Talking Heads,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00039; ordered title reference: https://open.spotify.com/track/2co8fDyaVmxv8xruQWORnC; printed-year evidence: not available,1985,1985,none
40,00040,https://hitstergame.com/uk/aaaa0005/00040,https://hitstergame.com/au/aaah0001/00040,2020,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1d2eMMrAuIsw85u3YklKoc,aaah0001,1d2eMMrAuIsw85u3YklKoc,1d2eMMrAuIsw85u3YklKoc,Toosie Slide,Drake,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00040; ordered title reference: https://open.spotify.com/track/1d2eMMrAuIsw85u3YklKoc; printed-year evidence: not available,2020,2020,none
41,00041,https://hitstergame.com/uk/aaaa0005/00041,https://hitstergame.com/au/aaah0001/00041,1993,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2rTYgHxgcndkUrRoU7x0Sv,aaah0001,2rTYgHxgcndkUrRoU7x0Sv,2rTYgHxgcndkUrRoU7x0Sv,Mr. Vain,Culture Beat,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00041; ordered title reference: https://open.spotify.com/track/2rTYgHxgcndkUrRoU7x0Sv; printed-year evidence: not available,1993,1993,none
